ticker,rsi_max,macd,stop_loss_pct,take_profit_pct,trades,wins,win_rate,avg_pnl_pct,total_pnl_pct,total_dollar_pnl,avg_hold_bars,best_trade,worst_trade,max_consec_losses
GME,75,10/21/9,1.0,6.0,617,242,39.2,0.011,6.741,674.14,3.0,1.599,-1.726,10
GME,75,10/21/9,2.0,2.0,617,242,39.2,0.011,6.741,674.14,3.0,1.599,-1.726,10
GME,75,10/21/9,2.0,4.0,617,242,39.2,0.011,6.741,674.14,3.0,1.599,-1.726,10
GME,75,10/21/9,2.0,6.0,617,242,39.2,0.011,6.741,674.14,3.0,1.599,-1.726,10
GME,60,8/21/9,0.5,2.0,433,165,38.1,0.015,6.609,660.94,3.2,2.0,-1.641,10
GME,60,8/21/9,1.0,2.0,433,165,38.1,0.015,6.609,660.94,3.2,2.0,-1.641,10
GME,60,8/21/9,2.0,2.0,433,165,38.1,0.015,6.609,660.94,3.2,2.0,-1.641,10
GME,60,8/21/9,0.5,4.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,60,8/21/9,0.5,6.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,60,8/21/9,1.0,4.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,60,8/21/9,1.0,6.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,60,8/21/9,2.0,4.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,60,8/21/9,2.0,6.0,433,165,38.1,0.014,6.002,600.16,3.2,1.392,-1.641,10
GME,65,12/26/9,0.5,2.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,0.5,4.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,0.5,6.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,1.0,2.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,1.0,4.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,1.0,6.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,2.0,2.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,2.0,4.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,65,12/26/9,2.0,6.0,443,175,39.5,0.012,5.38,538.01,3.4,1.121,-1.726,16
GME,60,10/21/9,0.5,2.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,0.5,4.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,0.5,6.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,1.0,2.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,1.0,4.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,1.0,6.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,2.0,2.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,2.0,4.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,60,10/21/9,2.0,6.0,409,159,38.9,0.013,5.145,514.47,3.3,1.121,-1.726,10
GME,75,12/26/9,0.5,2.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,0.5,4.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,0.5,6.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,1.0,2.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,1.0,4.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,1.0,6.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,2.0,2.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,2.0,4.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,75,12/26/9,2.0,6.0,577,221,38.3,0.008,4.803,480.33,3.1,1.121,-1.726,10
GME,70,12/26/9,0.5,2.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,0.5,4.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,0.5,6.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,1.0,2.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,1.0,4.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,1.0,6.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,2.0,2.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,2.0,4.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,70,12/26/9,2.0,6.0,532,203,38.2,0.009,4.778,477.75,3.2,1.121,-1.726,10
GME,60,12/26/9,0.5,2.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,0.5,4.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,0.5,6.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,1.0,2.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,1.0,4.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,1.0,6.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,2.0,2.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,2.0,4.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
GME,60,12/26/9,2.0,6.0,368,140,38.0,0.007,2.552,255.22,3.5,1.121,-1.726,16
AMC,75,8/21/9,1.0,2.0,438,106,24.2,-0.038,-16.474,-1647.45,2.8,4.559,-2.913,27
AMC,75,8/21/9,2.0,2.0,438,106,24.2,-0.038,-16.474,-1647.45,2.8,4.559,-2.913,27
